Species	Collection/Museum No.	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
Aphelaspis subditus	ICS-2510	4.392	1.989	4.361	2.393	4.299	3.015	4.165	5.646	4.144	6.112	NA	NA	6.423	3.232	NA	NA	6.091	3.792	NA	NA	6.133	5.066	NA	NA	5.366	5.563	NA	NA	5.283	5.946
Aphelaspis subditus	ICS-2510	4.018	1.408	4.018	1.856	4.018	2.413	3.974	4.476	3.996	4.935	NA	NA	5.568	2.347	2.533	2.773	NA	NA	2.358	3.941	5.568	4.029	3.046	4.378	4.88	4.378	3.122	4.727	4.815	4.76
Aphelaspis subditus	ICS-2510	2.018	1.743	2	1.906	1.974	2.21	1.877	3.253	1.859	3.507	1.152	2.087	NA	NA	1.188	2.366	NA	NA	1.018	3.003	NA	NA	1.435	3.203	2.351	3.224	1.435	3.366	NA	NA
Aphelaspis subditus	ICS-2510	3.375	1.361	3.397	1.682	3.418	2.272	3.493	3.997	3.514	4.393	1.95	2.143	4.811	2.047	2.175	2.625	4.597	2.572	2.047	3.847	NA	NA	2.625	3.943	4.297	3.847	2.647	4.318	NA	NA
Aphelaspis subditus	ICS-2510	4.867	1.957	4.867	2.582	4.846	3.492	4.825	6.74	4.814	7.481	NA	NA	7.28	3.407	2.656	4.37	6.952	4.285	2.497	5.989	7.153	6.02	3.312	6.528	6.317	6.497	3.344	7.036	NA	NA
Aphelaspis subditus	ICS-2510	5.761	7.453	5.75	8.011	5.719	8.662	5.635	11.448	5.666	12.09	3.333	8.589	7.937	8.673	3.7	9.293	7.611	9.388	3.543	10.744	7.727	10.839	4.289	11.301	6.938	11.396	4.3	11.764	6.854	11.879
Aphelaspis subditus	ICS-2510	2.567	1.335	2.553	1.635	2.521	2.142	2.471	3.831	2.435	4.206	NA	NA	3.763	2.014	1.36	2.514	3.649	2.474	1.225	3.374	NA	NA	1.742	3.671	3.178	3.71	1.775	3.956	3.171	3.946
Aphelaspis subditus	ICS-2510	1.987	0.646	1.983	0.846	1.987	1.194	2.047	2.457	2.047	2.857	NA	NA	2.917	1.099	1.113	1.418	2.843	1.453	0.99	2.176	2.998	2.18	1.464	2.391	2.545	2.391	1.492	2.654	2.531	2.671
Aphelaspis subditus	ICS-2510	8.532	1.7	8.532	2.149	8.51	2.742	8.51	4.727	8.51	5.22	6.887	2.478	10.067	2.566	7.117	3.093	NA	NA	6.931	4.288	NA	NA	7.567	4.628	9.409	4.639	7.633	4.99	9.344	5.001
Aphelaspis subditus	ICS-2510	2.281	2.665	2.299	2.935	2.312	3.336	2.371	4.774	2.395	5.105	NA	NA	3.422	3.215	NA	NA	3.336	3.56	1.193	4.463	3.464	4.373	1.714	4.711	3.007	4.628	1.746	4.998	2.993	4.953
Aphelaspis subditus	ICS-2510	2.57	1.848	2.581	2.373	2.603	3.204	2.734	5.862	2.778	6.474	NA	NA	4.725	2.876	NA	NA	4.571	3.729	NA	NA	4.79	5.151	NA	NA	3.937	5.621	NA	NA	3.893	6.081
Aphelaspis subditus	ICS-2510	3.74	5.954	3.72	6.359	3.7	6.995	3.579	9.088	3.548	9.593	NA	NA	5.287	6.874	NA	NA	5.105	7.511	NA	NA	5.236	8.613	2.588	8.815	4.529	8.906	2.608	9.149	NA	NA
Aphelaspis subditus	ICS-2510	6.708	1.945	6.677	2.319	6.656	2.912	6.511	4.899	6.469	5.325	5.107	2.507	NA	NA	5.232	3.224	7.977	3.411	NA	NA	8.112	4.524	5.596	4.68	7.447	4.847	5.596	4.992	7.384	5.096
Aphelaspis subditus	ICS-2510	4.475	1.297	4.496	1.729	4.485	2.378	4.475	4.399	4.464	4.918	2.778	2.313	6.161	2.291	3.037	2.853	NA	NA	2.886	4.021	6.042	3.999	3.513	4.312	5.382	4.258	3.599	4.756	5.328	4.712
Aphelaspis subditus	ICS-2510	3.745	0.707	3.761	1.19	3.812	1.905	3.931	4.194	3.982	4.702	1.956	1.736	5.556	1.582	2.149	2.353	5.424	2.273	NA	NA	5.661	3.614	NA	NA	4.917	3.901	NA	NA	4.828	4.438
Aphelaspis subditus	ICS-2510	5.934	1.192	5.955	1.869	5.995	2.572	6.102	4.89	6.068	5.392	NA	NA	7.964	2.385	NA	NA	7.73	2.974	3.965	4.394	8.024	4.407	NA	NA	7.04	4.602	4.997	5.204	6.973	5.198
Aphelaspis subditus	ICS-2510	3.918	4.139	3.866	4.615	3.807	5.384	3.605	7.32	3.559	7.822	2.119	4.889	5.28	5.169	2.282	5.58	5.13	5.736	2.008	6.701	5.261	6.936	2.757	7.073	NA	NA	NA	NA	4.394	7.581
Aphelaspis subditus	ICS-2510	1.999	3.621	2.01	3.866	1.999	4.216	1.977	5.335	1.977	5.63	1.027	4.134	2.9	4.167	1.174	4.396	2.802	4.418	1.076	5.199	2.802	5.172	1.513	5.292	NA	NA	1.491	5.521	2.425	5.537
Aphelaspis subditus	ICS-2510	1.436	3.053	1.466	3.249	1.507	3.555	1.6	4.511	1.611	4.759	0.786	3.536	2.162	3.391	0.863	3.773	2.124	3.612	0.833	4.423	2.31	4.259	1.204	4.497	1.936	4.412	1.218	4.664	1.96	4.587
